<p>집계 기간 : 2025/02/08 00:00:00 ~ 2025/02/14 23:59:00</p>
    <p>(글+3점, 댓글+1점)</p>
    <p>총 글 수: 10440개, 총 댓글 수: 32314개</p>
    <p>1등 : 아일러브릿(remind2852) | 총 점: 3464점 | 갤 지분(총점): 5.44% | 글 444개(3위), 댓글 2132개(1위)</p>
    <hr><p>2등 : 쿠이신보(suitcase6884) | 총 점: 3381점 | 갤 지분(총점): 5.31% | 글 540개(1위), 댓글 1761개(4위)</p>
    <hr><p>3등 : 모카롱(shampoo6696) | 총 점: 2937점 | 갤 지분(총점): 4.62% | 글 314개(6위), 댓글 1995개(2위)</p>
    <hr><p>4등 : 모카와천생연분(wing9445) | 총 점: 2687점 | 갤 지분(총점): 4.22% | 글 238개(17위), 댓글 1973개(3위)</p>
    <hr><p>5등 : 웒디신(conserve1125) | 총 점: 2394점 | 갤 지분(총점): 3.76% | 글 267개(10위), 댓글 1593개(5위)</p>
    <hr><p>6등 : 김모카님(convey2699) | 총 점: 2196점 | 갤 지분(총점): 3.45% | 글 298개(7위), 댓글 1302개(6위)</p>
    <hr><p>7등 : MinjUniverse(guardian2789) | 총 점: 1987점 | 갤 지분(총점): 3.12% | 글 253개(14위), 댓글 1228개(7위)</p>
    <hr><p>8등 : 메시호날두아일릿(iceberg3604) | 총 점: 1836점 | 갤 지분(총점): 2.89% | 글 471개(2위), 댓글 423개(23위)</p>
    <hr><p>9등 : 수프커리(sole6701) | 총 점: 1703점 | 갤 지분(총점): 2.68% | 글 292개(9위), 댓글 827개(9위)</p>
    <hr><p>10등 : 이긴다이로하(reduce2740) | 총 점: 1638점 | 갤 지분(총점): 2.57% | 글 346개(5위), 댓글 600개(16위)</p>
    <hr><p>11등 : 박민주의유도교실(tenant6291) | 총 점: 1554점 | 갤 지분(총점): 2.44% | 글 251개(15위), 댓글 801개(11위)</p>
    <hr><p>12등 : 노윤아미인이시다(illegal1029) | 총 점: 1539점 | 갤 지분(총점): 2.42% | 글 296개(8위), 댓글 651개(13위)</p>
    <hr><p>13등 : 비타민주(rush8446) | 총 점: 1509점 | 갤 지분(총점): 2.37% | 글 244개(16위), 댓글 777개(12위)</p>
    <hr><p>14등 : 덮로파(focus3065) | 총 점: 1385점 | 갤 지분(총점): 2.18% | 글 182개(22위), 댓글 839개(8위)</p>
    <hr><p>15등 : ILLIT모카(first3159) | 총 점: 1313점 | 갤 지분(총점): 2.06% | 글 260개(12위), 댓글 533개(19위)</p>
    <hr><p>16등 : 밍아지(park4386) | 총 점: 1290점 | 갤 지분(총점): 2.03% | 글 216개(19위), 댓글 642개(15위)</p>
